param,model,discipline,parameterCategory,productDefinitionTemplateNumber,parameterNumber,typeOfFirstFixedSurface,level,typeOfStatisticalProcessing,derivedForecast,percentileValue,scaledValueOfLowerLimit,scaledValueOfUpperLimit,lengthOfTimeRange,PrometheeTimeRangeFromStep,units,dtype
U_RAF__HAUTEUR10,default,0,2,8,23,sfc,10,2,,,,,,,m s**-1,float32
U_RAF__HAUTEUR50,default,0,2,8,23,sfc,50,2,,,,,,,m s**-1,float32
U_RAF__HAUTEUR100,default,0,2,8,23,sfc,100,2,,,,,,,m s**-1,float32
V__HAUTEUR10,default,0,2,0,3,sfc,10,,,,,,,,m s**-1,float32
V__HAUTEUR10,sympo,0,2,0,3,sfc,10,,,,,,,,m s**-1,float32
V__HAUTEUR10,arpege,0,2,0,3,sfc,10,,,,,,,,m s**-1,float32
V__HAUTEUR50,default,0,2,0,3,sfc,50,,,,,,,,m s**-1,float32
V__HAUTEUR100,default,0,2,0,3,sfc,100,,,,,,,,m s**-1,float32
V__ISOBARE850,default,0,2,0,3,pl,850,,,,,,,,,
V__ISOBARE850,arpege,0,2,0,3,pl,850,,,,,,,,,
V_RAF__HAUTEUR10,default,0,2,8,24,sfc,10,2,,,,,,,m s**-1,float32
V_RAF__HAUTEUR50,default,0,2,8,24,sfc,50,2,,,,,,,m s**-1,float32
V_RAF__HAUTEUR100,default,0,2,8,24,sfc,100,2,,,,,,,m s**-1,float32
VISI__SOL,default,0,19,8,0,sfc,0,3,,,,,,,m,float32
VISI__SOL,arpege,0,19,8,0,sfc,0,3,,,,,,,m,float32
VISI__SOL,alpha,0,19,12,0,sfc,0,3,200,,,,,,m,float32
VISI__SOL__MAXE,alpha,0,19,12,0,sfc,0,3,9,,,,,,m,float32
VISI__SOL__MINE,alpha,0,19,12,0,sfc,0,3,8,,,,,,m,float32
VISI__SOL__Q10,alpha,0,19,10,0,sfc,0,3,,10,,,,,m,float32
VISI__SOL__Q20,alpha,0,19,10,0,sfc,0,3,,20,,,,,m,float32
VISI__SOL__Q30,alpha,0,19,10,0,sfc,0,3,,30,,,,,m,float32
VISI__SOL__Q40,alpha,0,19,10,0,sfc,0,3,,40,,,,,m,float32
VISI__SOL__Q50,alpha,0,19,10,0,sfc,0,3,,50,,,,,m,float32
VISI__SOL__Q60,alpha,0,19,10,0,sfc,0,3,,60,,,,,m,float32
VISI__SOL__Q70,alpha,0,19,10,0,sfc,0,3,,70,,,,,m,float32
VISI__SOL__Q80,alpha,0,19,10,0,sfc,0,3,,80,,,,,m,float32
VISI__SOL__Q90,alpha,0,19,10,0,sfc,0,3,,90,,,,,m,float32
PTYPE__SOL,default,0,1,8,19,sfc,0,0,,,,,,,ptype,int16
PTYPE__SOL,arpege,0,1,8,19,sfc,0,,,,,,,,ptype,int16
PTYPE__SOL,sympo,0,19,0,253,sfc,0,,,,,,,,ptype,int16
PTYPE__SOL,alpha,0,1,12,19,sfc,0,0,200,,,,,,ptype,int16
WINDCHILL__HAUTEUR2,default,0,0,0,13,sfc,2,,,,,,,,K,float32
WINDCHILL__HAUTEUR2,alpha,0,0,2,13,sfc,2,,200,,,,,,K,float32
WINDCHILL__HAUTEUR2__MAXE,alpha,0,0,2,13,sfc,2,,9,,,,,,K,float32
WINDCHILL__HAUTEUR2__MINE,alpha,0,0,2,13,sfc,2,,8,,,,,,K,float32
WINDCHILL__HAUTEUR2__Q10,alpha,0,0,6,13,sfc,2,,,10,,,,,K,float32
WINDCHILL__HAUTEUR2__Q20,alpha,0,0,6,13,sfc,2,,,20,,,,,K,float32
WINDCHILL__HAUTEUR2__Q30,alpha,0,0,6,13,sfc,2,,,30,,,,,K,float32
WINDCHILL__HAUTEUR2__Q40,alpha,0,0,6,13,sfc,2,,,40,,,,,K,float32
WINDCHILL__HAUTEUR2__Q50,alpha,0,0,6,13,sfc,2,,,50,,,,,K,float32
WINDCHILL__HAUTEUR2__Q60,alpha,0,0,6,13,sfc,2,,,60,,,,,K,float32
WINDCHILL__HAUTEUR2__Q70,alpha,0,0,6,13,sfc,2,,,70,,,,,K,float32
WINDCHILL__HAUTEUR2__Q80,alpha,0,0,6,13,sfc,2,,,80,,,,,K,float32
WINDCHILL__HAUTEUR2__Q90,alpha,0,0,6,13,sfc,2,,,90,,,,,K,float32
WWMF__SOL,default,0,19,0,243,sfc,0,,,,,,,,w1,int8
WWMF__SOL,alpha,0,19,0,243,sfc,0,,,,,,,,wwmf,int8
WWMF__SOL,sympo,0,19,0,250,sfc,0,,,,,,,,w1,int8
MDPS__MER,sympo,10,0,0,10,sfc,0,,,,,,,,deg,float32
MPPS__MER,sympo,10,0,0,11,sfc,0,,,,,,,,s,float32
SHPS__MER,sympo,10,0,0,192,sfc,0,,,,,,,,m,float32
SHWW__MER,sympo,10,0,0,5,sfc,0,,,,,,,,m,float32
