Image,Cell,Position,Intensity
FM,5,13,63.519
FM,5,14,69.572
FM,5,15,80.562
FM,5,16,108.562
FM,5,17,143.512
FM,5,18,174.882
FM,5,19,187.307
FM,5,20,164.34
FM,5,21,115.266
FM,5,22,64.757
FM,5,23,27.201
FM,5,24,5.444
Phase,5,0,255
Phase,5,1,255
Phase,5,2,253.19
Phase,5,3,201.493
Phase,5,4,110.38
Phase,5,5,50.008
Phase,5,6,15.344
Phase,5,7,0.08
Phase,5,8,0
Phase,5,9,0
Phase,5,10,2.789
Phase,5,11,13.829
Phase,5,12,29.083
Phase,5,13,20.929
Phase,5,14,20.934
Phase,5,15,14.641
Phase,5,16,15.491
Phase,5,17,4.617
Phase,5,18,19.778
Phase,5,19,18.454
Phase,5,20,63.009
Phase,5,21,107.841
Phase,5,22,158.14
Phase,5,23,202.257
Phase,5,24,229
